title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Hip Thrust (Dumbbell),,,3,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Kickbacks Poulie,,,0,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Kickbacks Poulie,,,1,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Leg Curl Assis,,,0,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Leg Curl Assis,,,1,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Leg Curl Assis,,,2,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Abduction Hanche,,,0,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Abduction Hanche,,,1,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Adduction Hanche,,,0,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Adduction Hanche,,,1,normal,20,10,,,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche,,,0,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche,,,1,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche,,,2,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche Latérale,,,0,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche Latérale,,,1,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche Latérale,,,2,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Planche Latérale,,,3,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Dead Hang,,,0,normal,,,,30,
Workout 04,"04 janv. 2024, 08:00","04 janv. 2024, 09:00",,Dead Hang,,,1,normal,,,,30,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Rotation Externe Poulie,,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Rotation Externe Poulie,,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage Poitrine (Poulie),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage Poitrine (Poulie),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Développé Couché Incliné (Haltère),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Développé Couché Incliné (Haltère),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Développé Couché Incliné (Haltère),,,2,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage bas iso-latéral,,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage bas iso-latéral,,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Élévation Latérale (Poulie),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Élévation Latérale (Poulie),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Élévation Latérale (Poulie),,,2,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage vers Visage,,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage vers Visage,,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Tirage vers Visage,,,2,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Extension Triceps Corde,,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Extension Triceps Corde,,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Curl Marteau (Haltère),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Curl Marteau (Haltère),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Curl Biceps (Haltère),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Curl Biceps (Haltère),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,0,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,1,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,2,normal,20,10,,,
Workout 05,"05 janv. 2024, 08:00","05 janv. 2024, 09:00",,Dead Hang,,,0,normal,,,,30,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Presse à Cuisses Horizontal,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Presse à Cuisses Horizontal,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Presse à Cuisses Horizontal,,,2,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Jambes,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Jambes,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Jambes,,,2,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Leg Curl Assis,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Leg Curl Assis,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Leg Curl Assis,,,2,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Kickbacks Poulie,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Kickbacks Poulie,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Kickbacks Poulie,,,2,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Adduction Hanche,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Adduction Hanche,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Abduction Hanche,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Abduction Hanche,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Développé Debout Poulie Centrée,,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Développé Debout Poulie Centrée,,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,0,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,1,normal,20,10,,,
Workout 06,"06 janv. 2024, 08:00","06 janv. 2024, 09:00",,Extension Dos (Hyperextension Lestée),,,2,normal,20,10,,,
